energy, energy_uncertainty, intensity, intensity_uncertainty
4758, 0, 0.00001, 0
4800, 0, 0.000086, 0
4834, 0, 0.0007, 0
5004, 0, 0.0001, 0
5068, 0, 0.00014, 0
5089, 0, 0.0004, 0.000000004
5096, 0, 0.0004, 0.000000004
5114, 0, 0.0004, 0
5137, 0, 0.00032, 0
5155, 0, 0.0007, 0
5178, 0, 0.0003, 0
5182, 0, 0.0009, 0
5192, 0, 0.0006, 0
5217, 0, 0.00001, 0.00001
5223, 0, 0.0013, 0
5244, 0, 0.0024, 0
5279, 0, 0.0005, 0
5322, 0, 0.015, 0.005
5388, 0, 1.66, 0.02
5416.5, 0, 0.01, 0.00001
5442.8, 0.13, 13.1, 0.3
5469, 0, 0.04, 0
5485.56, 0.12, 84.8, 0.5
5511.5, 0, 0.225, 0.005
5544.5, 1.6, 0.37, 0.03
