energy, energy_uncertainty, intensity, intensity_uncertainty
13.81, 0.02, 0, 0
26.3446, 0.0002, 2.27, 0.12212817037850031
27.02, 0.007, 0, 0
31.4, 0, 0, 0
32.183, 0, 0.0174, 0.00043620637317673384
33.196, 0.001, 0.126, 0.0032538592471094995
38.54, 0.03, 0, 0
42.704, 0.005, 0.0055, 0.0011013741416975433
43.42, 0.003, 0.073, 0.008033237205510614
51.01, 0.03, 0.000026, 0.000012002816336177106
54, 0, 0, 0
55.56, 0.02, 0.0181, 0.001809077389168302
56.8, 0, 0, 0
57.85, 0.05, 0.0052, 0.0015009010626953398
59.5409, 0.0001, 35.9, 0.3657608508301565
61.46, 0, 0, 0
64.83, 0.02, 0.000145, 0.000018058308337161595
67.45, 0.05, 0.00042, 0.00010008816113806868
69.76, 0.03, 0.0029, 0.0004010498722104272
75.8, 0.2, 0.00059, 0.000059294266164613257
78.1, 0, 0, 0
79.1, 0, 0, 0
92.1, 0, 0, 0
96.7, 0.2, 0, 0
98.97, 0.02, 0.0203, 0.0004485632619820754
102.98, 0.02, 0.0195, 0.000445
106.42, 0.05, 0.000015, 0.00000015
109.7, 0.07, 0.0000049, 0.000000049
115.54, 0, 0, 0
120.36, 0.08, 0.0000045, 0.000000045
123.052, 0.007, 0.001, 0.000031622776601683795
125.3, 0.02, 0.00408, 0.00009881619300499286
128.05, 0, 0, 0
129.2, 0, 0, 0
135.3, 0, 0, 0
136.7, 0, 0, 0
138.5, 0, 0, 0
139.44, 0.08, 0.0000053, 0.0000011012760780113223
146.55, 0.03, 0.000461, 0.000011926948478131361
150.04, 0.03, 0.000074, 0.000002226566864030811
154.27, 0.2, 0.00000054, 0.0000000054
156.4, 0.3, 0, 0
159.26, 0.2, 0.0000014, 0.0000005001959615990517
161.54, 0.1, 0.0000015, 0.000000015
164.69, 0.04, 0.0000667, 0.000002490961460962413
165.81, 0.06, 0.0000232, 0.0000011241992705921847
169.56, 0.03, 0.000173, 0.000004358084441586694
175.07, 0.04, 0.0000182, 0.000001016427075593719
190.4, 0, 0.0000022, 0.0000005004837659704858
191.96, 0.04, 0.0000216, 0.0000010230620704532057
197, 0.2, 0.00000049, 0.0000000049
201.7, 0.14, 0.0000008, 0.000000008
204.06, 0.06, 0.0000029, 0.00000019220041623263984
208.01, 0.03, 0.000791, 0.00001875014933273866
221.46, 0.03, 0.0000424, 0.0000010861749398692643
221.8, 0.04, 0, 0
232.81, 0.05, 0.00000464, 0.00000030356706013663604
234.33, 0, 0.00000066, 0.00000027008065462005976
246.73, 0.1, 0.00000242, 0.00000025116854898653215
249, 0.15, 0.00000054, 0.0000000054
260.8, 0.15, 0.00000121, 0.00000019038489961128745
260.8, 0.15, 0, 0
264.89, 0.06, 0.000009, 0.00000041
264.89, 0.06, 0, 0
267.58, 0.05, 0.0000263, 0.0000008421217251680424
270.63, 0.15, 0.00000064, 0.0000002001023737990132
275.77, 0.08, 0.0000066, 0.0000004054084360247083
278.04, 0.15, 0.00000044, 0.0000000044
291.3, 0.2, 0.0000031, 0.00000030159741378201506
292.77, 0.06, 0.0000142, 0.0000005197730273879167
300.13, 0.06, 0, 0
304.21, 0.2, 0.00000101, 0.00000021024274065945773
